Gene ID	Entrez Gene ID	Gene Symbol	Gene Name	Organism	Unigene ID	Ensembl ID	UniProt ID	Alias	Lifespan Effect	Phenotype Description	Longevity Influence	Max Lifespan Change	Avg Lifespan Change	Method	Bibliographic reference
2039	173309	rps-20	Ribosomal Protein, Small subunit	Caenorhabditis elegans	6570				increase	RNA interference of rps-20 results in an increased lifespan.	anti		23.6	RNA interference	
568	175338	rps-22	Ribosomal Protein, Small subunit	Caenorhabditis elegans	Cel.8436	F53A3.3			increase	RNA interference in adulthood increased maximum lifespan by 20-35% while RNA interference throughout the entire lifespan reduced maximum lifespan by 14%.	anti	35		RNA interference	
569	178188	rps-23	Ribosomal Protein, Small subunit	Caenorhabditis elegans	Cel.7839	F28D1.7			increase	RNA interference increased mean lifespan by 126%.	anti		126	RNA interference	
569	178188	rps-23	Ribosomal Protein, Small subunit	Caenorhabditis elegans	Cel.7839	F28D1.7			increase	RNA interference of rps-23 results in an increased lifespan.	anti		22.7	RNA interference	
570	173342	rps-26	Ribosomal Protein, Small subunit	Caenorhabditis elegans	Cel.18312	F39B2.6			increase	RNA interference in adulthood increased maximum lifespan by 20%.	anti	20		RNA interference	
571	175879	rps-3	Ribosomal Protein, Small subunit	Caenorhabditis elegans	Cel.10141	C23G10.3			increase	RNA interference in adulthood extended mean lifespan by 32%.	anti		32	RNA interference	
572	178012	rps-5	Ribosomal Protein, Small subunit	Caenorhabditis elegans	Cel.9125	T05E11.1			increase	RNA interference increased mean lifespan by 75%.	anti		75	RNA interference	
572	178012	rps-5	Ribosomal Protein, Small subunit	Caenorhabditis elegans	Cel.9125	T05E11.1			increase	RNA interference of rps-5 results in an increased lifespan.	anti		4	RNA interference	
573	173260	rps-6	Ribosomal Protein, Small subunit	Caenorhabditis elegans	Cel.8960	Y71A12B.1			increase	RNA interference in adulthood resulted in a 25% increase in maximum lifespan.	anti	25		RNA interference	
574	177503	rps-8	Ribosomal Protein, Small subunit	Caenorhabditis elegans	Cel.20547	F42C5.8			increase	RNA interference in adulthood extended mean lifespan by 18%.	anti		18	RNA interference	
1787	179641	rpt-1	Protein RPT-1	Caenorhabditis elegans					decrease	Post-developmental RNAi of rpt-1 shortens lifespan of wild type worms.	pro	50	28.4	Post-developmental RNA interference	
578	176554	rsks-1	RSK-pSeventy (RSK-p70 kinase) homolog	Caenorhabditis elegans	Cel.9098	Y47D3A.16			increase	RNA interference reducing S6K (rsks-1) mRNA levels by about two-fold extended mean lifespan 13-47% and maximum lifespan by up to 60%. Deletion mutants also lived longer. A life-extending effect was also observed in daf-16 mutants and sir-2.1 mutants but not in daf-2 mutants. TOR RNA interference further extended lifespan.	anti	60	47	RNA interference	
578	176554	rsks-1	RSK-pSeventy (RSK-p70 kinase) homolog	Caenorhabditis elegans	Cel.9098	Y47D3A.16			increase	RNAi resulted in a 22% maximum lifespan increase. In the rsks-1 (ok1255) mutant background, inhibition of ifg-1 led to a further extension of 40% in maximum lifespan. However, inhibition of let-363 (worm homologue of TOR) by RNAi in rsks-1 mutant background led to a slight shortening of MLS. In the daf-2 (e1370) mutant background, inhibition of either ifg-1 or rsks-1 further extended lifespan by 70% and 24%, respectively. Inhibition of either ifg-1 or rsks-1 extended lifespan by 27% and 14%, respectively, in a daf-16 (mu86 ) background. Inhibition of either ifg-1 or rsks-1 in the clk-1(e2519) mutant background led to a further lifespan extension by 19% and 13%, respectively. Inhibition of either ifg-1 or rsks-1 extended lifespan in the eat-2 background by 54% and 11%, respectively. In a sir-2.1 mutant background, ifg-1 inhibition extended lifespan by 93% and rsks-1 inhibition by 33%.	anti	22		RNA interference	
1776	173013	rsr-1	Protein RSR-1	Caenorhabditis elegans					increase	Post-developmental RNAi of rsr-1 extends lifespan of wild type worms.	anti	0	6.1	Post-developmental RNA interference	
579	174862	rsr-2	SR protein related	Caenorhabditis elegans	Cel.13892	Y57A10A.19			decrease	RNA interference decreased median lifespan by 34% in a daf-2 background and 20% in daf-2/daf-16 double mutants.	pro			RNA interference	
248	172778	sac-1	Protein SAC-1	Caenorhabditis elegans	Cel.18827	F30A10.6			decrease	RNA interference decreased median lifespan by 25% in wild type animals and 40% in daf-2 mutants.	pro		25	RNA interference	
584	181370	sams-1	S-Adenosyl Methionine Synthetase	Caenorhabditis elegans	Cel.5591	C49F5.1			increase	RNA interference extends lifespan by 14-15%.	anti		15	RNA interference	
737	178446	sams-2		Caenorhabditis elegans	Cel.30553				increase	RNA interference in adulthood extended mean lifespan by 27%.	anti		27	RNA interference	
903	177355	sams-3	hypothetical protein	Caenorhabditis elegans		C06E7.1			increase	Extended  mean life span (10-50% in different backgrounds) when inactivated 	anti		50	RNA interference post development	
585	179592	sas-5	Spindle ASsembly abnormal	Caenorhabditis elegans	Cel.3763	F35B12.5			increase	RNA interference in adulthood increased mean lifespan by 30%.	anti		30	RNA interference	
726	175218	sbds-1	Shwachman-Bodian-Diamond Syndrome protein homolog	Caenorhabditis elegans	Cel.17261	W06E11.4			decrease	RNA interference decreased median lifespan by 24% in daf-2 mutants.	pro			RNA interference	
586	180366	sbt-1	Seven B Two (mammalian 7BT prohormone convertase chaperone) homolog	Caenorhabditis elegans	Cel.20621	T03D8.3			decrease	Mutation reduced maximum lifespan 15%.	pro	15		Mutation	
587	176512	sca-1	SERCA (Sarco-Endoplasmic Reticulum Calcium ATPase)	Caenorhabditis elegans	Cel.22455	K11D9.2			increase	RNA interference extends lifespan.	anti			RNA interference	
587	176512	sca-1	SERCA (Sarco-Endoplasmic Reticulum Calcium ATPase)	Caenorhabditis elegans	Cel.22455	K11D9.2			increase	RNA interference of sca-1 results in an increased lifespan.	anti		18.6	RNA interference	
588	179054	scd-2	Suppressor of Constitutive Dauer formation	Caenorhabditis elegans	Cel.5331	T10H9.2			decrease	Mutation reduced maximum lifespan 40%.	pro	40		Mutation	
591	186053	scl-1	SCP-Like extracellular protein	Caenorhabditis elegans	Cel.26917	F49E11.9			decrease	Required for life-extension of daf-2 and age-1 mutants. Downregulation of scl-1 reduces lifespan and stress resistance.	pro			Knockdown	
784	191309	scl-20	SCP-Like extracellular protein	Caenorhabditis elegans	Cel.1294	ZK384.2			decrease	ZK384.2 appears to inhibit the growth of gld-1 tumours. RNA interference reduced mean lifespan up to 18% in wild type animals, 15% in daf-2 mutants and 28% in daf-2/gld-1 mutants.	pro		18	RNA interference	
79	183342	scl-4	SCP-Like extracellular protein	Caenorhabditis elegans					increase	RNA interference extends lifespan.	anti			RNA interference	
80	183345	scl-8	SCP-Like extracellular protein	Caenorhabditis elegans	Cel.13367	C39E9.6			increase	RNA interference increased mean lifespan 18%.	anti		18	RNA interference	
54	173763	sco-1	Protein SCO-1	Caenorhabditis elegans	Cel.16014	C01F1.2			increase	RNA interference in adulthood resulted in a 23% increase in mean lifespan.	anti		23	RNA interference	
387	187152	scrm-8	SCRaMblase (phospholipid scramblase)	Caenorhabditis elegans	Cel.12641	K08D10.7			increase	RNA interference extends lifespan.	anti			RNA interference	
595	175599	sel-5	Suppressor/Enhancer of Lin-12	Caenorhabditis elegans	Cel.5320	F35G12.3			increase	RNA interference in adulthood increased mean lifespan by 29%.	anti		29	RNA interference	
596	181055	sem-5	SEx Muscle abnormal	Caenorhabditis elegans	Cel.19703	C14F5.5			increase	RNA interference in adulthood increased mean lifespan by 24%.	anti		24	RNA interference	
597	181716	ser-1	SERotonin/octopamine receptor family	Caenorhabditis elegans	Cel.19556	F59C12.2			increase	Deletion increased longevity by up to 46%.	anti		46	Deletion	
598	175322	ser-4	SERotonin/octopamine receptor family	Caenorhabditis elegans	Cel.19326	Y22D7AR.13			decrease	Deletion shortened early- to mid-lifespan.	pro			Deletion	
1878	171593	sesn-1	Sestrin homolog	Caenorhabditis elegans	.25516				decrease	Mutant SESN-1 worms (ok3157 or tm2827) show a decrease in lifespan at both 20C and 25C (up to 46%). Similarly, RNAi of SESN-1 also decreases lifespan (up to 31%). 	pro		46	Mutation	
1878	171593	sesn-1	Sestrin homolog	Caenorhabditis elegans	.25516				increase	Overexpressing SESN-1 results in an increase lifespan compared to wild-types (by up to 16%). Additionally, expression of the SESN-1 gene can also rescue the phenotype of short-lived SESN-1 mutants. 	pro		16	Overexpression	
527	187813	set-15	SET (trithorax/polycomb) domain containing	Caenorhabditis elegans	Cel.27470	R11E3.4			increase	RNA interference extended lifespan.	anti			RNA interference	
527	187813	set-15	SET (trithorax/polycomb) domain containing	Caenorhabditis elegans	Cel.27470	R11E3.4			increase	10% mean lifespan extension	anti		10	RNA interference	
977	175662	set-2	SET (trithorax/polycomb) domain containing	Caenorhabditis elegans		C26E6.9			increase	20% mean lifespan extension	anti		20	RNA interference	
977	175662	set-2	SET (trithorax/polycomb) domain containing	Caenorhabditis elegans		C26E6.9			increase	Set-2 deficiency in the parental generation extend the lifespan of descendants up until thethird generation.	anti		30	Mutation	
2056	178463	set-26	SET (trithorax/polycomb) domain containing	Caenorhabditis elegans	11947				increase	RNA inteference of set-26 results in an incrased lifespan of up to 22%, depending on temperature.	anti		22	RNA interference	
978	174045	set-4	SET (trithorax/polycomb) domain containing	Caenorhabditis elegans		C32D5.5			increase	20% mean lifespan extension	anti		20	RNA interference	
979	181371	set-6	SET (trithorax/polycomb) domain containing	Caenorhabditis elegans		C49F5.2			decrease	10% mean lifespan decrease	pro		10	RNA interference	
235	177196	set-9	SET (trithorax/polycomb) domain containing	Caenorhabditis elegans	Cel.21386	F15E6.1			increase	RNA interference extends lifespan.	anti			RNA interference	
235	177196	set-9	SET (trithorax/polycomb) domain containing	Caenorhabditis elegans	Cel.21386	F15E6.1			increase	20% mean lifespan extension	anti		20	RNA interference	
235	177196	set-9	SET (trithorax/polycomb) domain containing	Caenorhabditis elegans	Cel.21386	F15E6.1			increase	RNA inteference of set-9 results in an incrased lifespan of up to 22%, depending on temperature.	anti		22	RNA interference	
599	181697	sgk-1	Serum- and Glucocorticoid- inducible kinase homolog	Caenorhabditis elegans	Cel.19781	W10G6.2			increase	Deletion results in defective egg-laying, extended generation time, increased stress resistance, and life-extension.	anti			Deletion	
980	3565745	shc-1	Src Homology domain C-terminal, adaptor homolog	Caenorhabditis elegans		F54A5.3			decrease	shc-1(ok198) mutants display a strongly reduced mean adult life span (38% compared with wild type).	pro		38	Mutation	
785	176805	sid-2	Systemic RNA Interference Defective	Caenorhabditis elegans	Cel.9551	ZK520.2			increase	RNA interference extends lifespan.	anti			RNA interference	
602	190339	sinh-1	SIN-1 (S. pombe stress activated protein kinase interactor) Homolog	Caenorhabditis elegans	Cel.23921	Y57A10A.20			increase	RNA interference extends lifespan.	anti			RNA interference	
1960	176471	sip-1	Stress-induced protein 1	Caenorhabditis elegans	16892				decrease	RNA interference of sip-1 in worms results in decreased lifespan (mean lifespan is 18% shorter).	pro		18	RNA interference	
604	177924	sir-2.1	Yeast SIR related (68.8 kD) (sir-2.1)	Caenorhabditis elegans	Cel.12479	R11A8.4			increase	Overexpression extends lifespan by about 50%.	pro		50	Overexpression	
604	177924	sir-2.1	Yeast SIR related (68.8 kD) (sir-2.1)	Caenorhabditis elegans	Cel.12479	R11A8.4			decrease	Sir-2.1(ok434) mutants show a slight decrease in lifespan as well as sensitivity to various stresses.	pro			Mutation	
604	177924	sir-2.1	Yeast SIR related (68.8 kD) (sir-2.1)	Caenorhabditis elegans	Cel.12479	R11A8.4			increase	Overexpression of sir-2.1 extended lifespan.	pro	15	10	Overexpression	
604	177924	sir-2.1	Yeast SIR related (68.8 kD) (sir-2.1)	Caenorhabditis elegans	Cel.12479	R11A8.4			noeffect	Outcrossing of lines with sir-2.1 overexpression abrogated the lifespan increase.	none	
612	177343	skn-1	SKiNhead	Caenorhabditis elegans	Cel.23037	T19E7.2			decrease	RNA interference or mutations prevented the life-extension effects of dietary restriction.	pro			RNA interference	
612	177343	skn-1	SKiNhead	Caenorhabditis elegans	Cel.23037	T19E7.2			increase	Mean lifespan extension by 5-20% after overexpression and opposite effect due to mutations.	pro		20	Overexpression	
613	172775	skr-1	SKp1 Related (ubiquitin ligase complex component)	Caenorhabditis elegans	Cel.18311	F46A9.5			decrease	RNA interference in adulthood of skr-1 and skr-2 shortened the extended lifespan of daf-2(mu150) mutants by up to 44%. No effect in the lifespan of wild-type worms or in the extended lifespans of glp-1(e2141ts) or eat-2(ad1116) mutants was observed.	pro			RNA interference	
614	172773	skr-2	SKp1 Related (ubiquitin ligase complex component)	Caenorhabditis elegans	Cel.193	F46A9.4			decrease	RNA interference in adulthood of skr-1 and skr-2 shortened the extended lifespan of daf-2(mu150) mutants by up to 44%. No effect in the lifespan of wild-type worms or in the extended lifespans of glp-1(e2141ts) or eat-2(ad1116) mutants was observed.	pro			RNA interference	
981	180148	skr-5	SKp1 Related (ubiquitin ligase complex component)	Caenorhabditis elegans		F47H4.10			increase	10% mean lifespan extension	anti		10	RNA interference post development	
939	186633	slcf-1	hypothetical protein	Caenorhabditis elegans		F59F5.1			increase	Mean LS increase by 40%	anti		40	RNA interference	
982	176849	sma-10	hypothetical protein	Caenorhabditis elegans		T21D12.9			increase	Extended  mean life span (10-30% in different backgrounds) when inactivated 	anti		30	RNA interference post development	
983	172418	smg-1	Suppressor with Morphological effect on Genitalia	Caenorhabditis elegans		C48B6.6			increase	smg-1 inhibition increases average lifespan (by 30%) compared to WT in  a daf-18 dependent manner	anti		30	RNA interference	
616	179243	smk-1	suppressor of MEK null	Caenorhabditis elegans	Cel.4912	F41E6.4			decrease	RNA interference of smk-1 completely suppressed the extended longevity of daf-2 mutations and partly the life-extension of clk-1 mutants. It only slightly shortened the lifespan of wild-type worms.	pro			RNA interference	
616	179243	smk-1	suppressor of MEK null	Caenorhabditis elegans	Cel.4912	F41E6.4			decrease	RNAi led to a 44% decrease in median lifespan in daf-2 background and 21% decrease in lifespan in wild-type background.	pro		21	RNA interference	
617	172783	smn-1	SMN (human Survival Motor Neuron gene) homolog	Caenorhabditis elegans	Cel.18372	C41G7.1			decrease	RNA interference results in a 40% decrease in median lifespan in daf-2 mutants,  13% decrease in lifespan in daf-2/daf-16 double mutants and a 26% decrease in median lifespan in a wild-type background.	pro		26	RNA interference	
1788	179193	snap-1	Protein SNAP-1	Caenorhabditis elegans					decrease	Post-developmental RNAi of snap-1 shortens lifespan of wild type worms.	pro	50	39.9	Post-developmental RNA interference	
1789	176233	snap-29	Protein SNAP-29	Caenorhabditis elegans					decrease	Post-developmental RNAi of snap-29 shortens lifespan of wild type worms.	pro	72	48.6	Post-developmental RNA interference	
618		SNCA	synuclein, alpha (non A4 component of amyloid precursor)	Caenorhabditis elegans					increase	Transgenic lines overexpressing human SNCA lived about 25% longer, even in a daf-2 mutant background, and exhibited decreased pharyngeal pumping and egg-laying.	pro		25	Overexpression	
984	174141	sod-1	superoxide dismutase	Caenorhabditis elegans		C15F1.7			increase	sod-1 RNAi decreases oxidative damage and increases life span.	anti			RNA interference	
985	172632	sod-2	Superoxide dismutase (24.5 kD) (sod-2)	Caenorhabditis elegans		F10D11.1			increase	Treatment of wild-type worms increased their mean LS by a mean of 44 percent, and treatment of prematurely aging worms resulted in normalization of their LS (a 67 percent increase). 	pro		44	Pharmacological overexpression (Superoxide dismutase/catalase mimetics)	
985	172632	sod-2	Superoxide dismutase (24.5 kD) (sod-2)	Caenorhabditis elegans		F10D11.1			increase	sod-2 mutants are long-lived (maximum lifespan increased by 30%) despite a significant increase in oxidatively damaged proteins. The lifespan of sod1, sod3, sod4 and sod5 mutants was not affected. Examination of worm lifespan revealed that sod-1; sod-3; sod-5 mutant worms live as long as wild-type worms while both sod-2; sod-3; sod-5 and sod-1; sod-2; sod- 4 mutant worms live significantly longer than wild-type (maximum lifespan increased by 30%).  	anti	30		Mutations	
625	177929	spe-26	Defective SPErmatogenesis	Caenorhabditis elegans	Cel.24593	R10H10.2			increase	Mutation that reduced sperm production also increased mean lifespan by about 65%.	anti		65	Mutation	
625	177929	spe-26	Defective SPErmatogenesis	Caenorhabditis elegans	Cel.24593	R10H10.2			increase	RNAi led to a 33% mean lifespan extension.	anti		33	RNA interference	
662	172137	spe-5	Temporarily Assigned Gene name	Caenorhabditis elegans	Cel.24050	Y110A7A.12			increase	RNA interference in adulthood extended mean lifespan by 23%.	anti		23	RNA interference	
753	171915	spg-7	human SPG (spastic paraplegia)	Caenorhabditis elegans	Cel.16460	Y47G6A.10			increase	RNA interference in adulthood resulted in a 23% increase in mean lifespan.	anti		23	RNA interference	
626	176857	spl-1	Sphingosine Phosphate Lyase	Caenorhabditis elegans	Cel.5572	Y66H1B.4			decrease	RNA interference decreased median lifespan by 22% in wild type animals, 63% in a daf-2 background and 17% in daf-2/daf-16 double mutants.	pro		22	RNA interference	
986	171681	spp-17	SaPosin-like Protein family	Caenorhabditis elegans		C54G6.5			increase	20% mean lifespan extension	anti		20	RNA interference post development	
1896	180722	spr-3	Suppressor of presenilin protein 3	Caenorhabditis elegans	.24627				increase	Deletion or RNA interference of spr-3 results in a short lifespan phenotype for worms. Contrarly, worm mutants with a gain-of-function mutation of spr-3 (by108) display resistance to environmental stress and an increased lifespan (by 26%) when compared with wild-type nematodes. This mutation is dependent on daf-16 and glp-1. 	anti		26	Mutation	
627	175172	spt-4	SPT transcription factor family	Caenorhabditis elegans	Cel.20527	F54C4.2			increase	RNA interference extended lifespan.	anti			RNA interference	
987	189783	sptf-3	Specificity Protein) Transcription Factor	Caenorhabditis elegans		Y40B1A.4			decrease	24% mean decrease in lifespan	pro		24	RNA interference	
987	189783	sptf-3	Specificity Protein) Transcription Factor	Caenorhabditis elegans		Y40B1A.4			decrease	Post-developmental RNAi of sptf-3 shortens lifespan of wild type worms.	pro	37	22.9	Post-developmental RNA interference	
1920	173389	sptl-1	Serine Palmitoyl Transferase famiLy	Caenorhabditis elegans	.8663				increase	RNA interference of SPTL-1 (C23H3.4), serine palmitoyl transferase homolog, results in both mean and maximum lifespan extension.	anti	20	33	RNA interference	
988	190663	srt-56	Serpentine Receptor, class T	Caenorhabditis elegans		Y73C8C.9			increase	Extended mean life span (20-30% in different backgrounds) when inactivated 	anti		30	RNA interference post development	
628	188048	sru-17	Serpentine Receptor, class U	Caenorhabditis elegans	Cel.29569	T04A11.10			increase	RNA interference extended lifespan.	anti			RNA interference	
629	189964	srw-100	Serpentine Receptor, class W	Caenorhabditis elegans	Cel.28197	Y46H3C.1			increase	RNA interference extended lifespan.	anti			RNA interference	
630	188136	srw-20	Serpentine Receptor, class W	Caenorhabditis elegans	Cel.27578	T05E12.4			increase	RNA interference extended lifespan.	anti			RNA interference	
631	189965	srw-99	Serpentine Receptor, class W	Caenorhabditis elegans	Cel.28198	Y46H3C.2			increase	RNA interference extended lifespan.	anti			RNA interference	
638	181255	syd-2	SYnapse Defective	Caenorhabditis elegans	Cel.19549	F59F5.6			decrease	Mutation reduced maximum lifespan 40%.	pro	40		Mutation	
240	182490	symk-1	Protein SYMK-1	Caenorhabditis elegans	Cel.31512	F25G6.2			increase	RNA interference in adulthood resulted in a 24% mean lifespan extension.	anti		24	RNA interference	
639	173459	T02H6.11	Protein T02H6.11	Caenorhabditis elegans	Cel.18242	T02H6.11			increase	RNA interference extends lifespan by about 40%.	anti		40	RNA interference	
639	173459	T02H6.11	Protein T02H6.11	Caenorhabditis elegans	Cel.18242	T02H6.11			increase	RNAi led to a 60% mean lifespan extension.	anti		60	RNA interference	
641	188077	T05A1.5	T05A1.5b	Caenorhabditis elegans	Cel.12395	T05A1.5			increase	RNA interference increased mean lifespan by 20%.	anti		20	RNA interference	
643	176864	T07A9.8	Protein T07A9.8	Caenorhabditis elegans	Cel.12379	T07A9.8			increase	RNA interference extends lifespan.	anti			RNA interference	
643	176864	T07A9.8	Protein T07A9.8	Caenorhabditis elegans	Cel.12379	T07A9.8			increase	Post developmentally RNAi let to a 24% mean lifespan extension.	anti		24	RNA interference	
989	177339	T12E12.1	hypothetical protein	Caenorhabditis elegans		T12E12.1			increase	RNAi led to 30% increase in mean lifespan	anti		30	RNA interference post development	
114	188527	T15B12.1	INSulin related	Caenorhabditis elegans			O18149_CAEEL		increase	Gene silencing extended lifespan by 30-40%.	anti		40	RNA interference	
645	179551	T19B10.2	Protein T19B10.2	Caenorhabditis elegans	Cel.2281	T19B10.2			decrease	RNA interference decreased median lifespan by 34% in wild type animals, 72% in a daf-2 background and 30% in daf-2/daf-16 double mutants.	pro		34	RNA interference	
646	176023	T20H4.5	Protein T20H4.5	Caenorhabditis elegans	Cel.34232	T20H4.5			increase	RNA interference increased mean lifespan by 51%.	anti		51	RNA interference	
646	176023	T20H4.5	Protein T20H4.5	Caenorhabditis elegans	Cel.34232	T20H4.5			increase	RNAi led to a 7% mean lifespan extension.	anti		7	RNA interference	
1762	172857	T23D8.3	Protein T23D8.3	Caenorhabditis elegans					increase	Post-developmental RNAi of T23D8.3 extends lifespan of wild type worms.	anti	34.7	25.7	Post-developmental RNA interference	
2113	177968	T25B9.1	hypothetical protein	Caenorhabditis elegans					increase	In a large scale screen downregulation of T25B9.1 in worms increased mean lifespan by >5%. 	anti			RNA interference	
990	176772	T27E9.2	hypothetical protein	Caenorhabditis elegans		T27E9.2			increase	20% mean lifespan extension	anti		20	RNA interference	
652	173863	T27F7.1	Protein T27F7.1	Caenorhabditis elegans	Cel.14915	T27F7.1			decrease	RNA interference decreased median lifespan by 34% in wild type animals, 42% in a daf-2 background and 37% in daf-2/daf-16 double mutants.	pro		34	RNA interference	
654	176780	T28A8.6	Protein T28A8.6	Caenorhabditis elegans	Cel.13901	T28A8.6			increase	RNA interference increased mean lifespan by 28%.	anti		28	RNA interference	
655	176566	T28D6.4	Protein T28D6.4	Caenorhabditis elegans	Cel.9967	T28D6.4			increase	RNA interference increased mean lifespan by 33%.	anti		33	RNA interference	
656	175693	tag-174	Temporarily Assigned Gene name	Caenorhabditis elegans	Cel.18117	F54D8.2			increase	RNA interference increased mean lifespan by 11%.	anti		11	RNA interference	
656	175693	tag-174	Temporarily Assigned Gene name	Caenorhabditis elegans	Cel.18117	F54D8.2			increase	RNAi led to a 25% mean lifespan extension.	anti		25	RNA interference	
2213	177202	tald-1	Transaldolase	Caenorhabditis elegans					increase	Downregulation of tald-1 in worms increased lifespan by 14%. This increase only occurred if knock-down took place throughout development. Tald-1 downregulation in adult worms had no effect on lifespan. 	anti		14	RNA interference	
684	174790	tars-1	Threonyl Amino-acyl tRNA Synthetase	Caenorhabditis elegans	Cel.17250	C47D12.6			increase	RNA interference in adulthood extended mean lifespan by 12%.	anti		12	RNA interference	
2008	181574	tatn-1	Tyrosine AminoTraNsferase	Caenorhabditis elegans	.6549				increase	Worms with tatn-1 mutations (baf1, partial loss-of-function), impairing tyrosine aminotransferase activity, show elevated levels of tyrosine, are prone to arresting development in dauer stage, and display increased longevity compared to wild type N2 controls (mean lifespan ~10% longer). Similar effects were observed for worms which have tatn-1 inhibited by RNA interference (~9%). Additionally, tatn-1 mutations  or RNA interference also extend the lifespan of the eak7 (by ~12%) and daf-2 (by ~21%) long-lived mutants. The longevity extension effect of tatn-1 is dependent on aak-2 and daf-16 independent.	anti		10	Mutation	
668	176297	tax-4	abnormal CHEmotaxis	Caenorhabditis elegans	Cel.19693	ZC84.2			increase	Recessive loss-of-function allele can increase lifespan by up to 100%.	anti		100	Mutation	
669	177943	tax-6	abnormal CHEmotaxis	Caenorhabditis elegans	Cel.13613	C02F4.2			increase	Post-developmental RNA interference increased mean lifespan by 27%.	anti		27	RNA interference	
2116	174680	tba-4	Tubulin alpha chain	Caenorhabditis elegans					increase	In a large scale screen downregulation of tba-4 in worms increased mean lifespan by >5%. 	anti			RNA interference	
670	176568	tba-7	TuBulin, Alpha	Caenorhabditis elegans	Cel.37548	T28D6.2			increase	RNA interference increased mean lifespan by 13%.	anti		13	RNA interference	
2036	175519	tbb-2	Tubulin beta-2 chain	Caenorhabditis elegans	10737				increase	RNA interference of tbb-2 results in an increased lifespan.	anti		5.1	RNA interference	
71	180784	tbc-7	TBC (Tre-2/Bub2/Cdc16) domain family	Caenorhabditis elegans	Cel.6841	C31H2.1			decrease	RNA interference decreased median lifespan by 28% in daf-2 mutants.	pro			RNA interference	
991	176054	tbp-1	TATA-Binding Protein	Caenorhabditis elegans		T20B12.2			decrease	21% mean decrease in lifespan	pro		21	RNA interference	
2059	174150	tcer-1	TransCription Elongation Regulator homolog	Caenorhabditis elegans	18223				increase	Overexpression of tcer-1 extends lifespan.	pro		15	Overexpression	
1751	174436	tdp-1	Protein TDP-1	Caenorhabditis elegans					increase	TDP-1 loss of function mutants display reduced proteotoxicity in worm models and an extended lifespan, which is DAF-16 dependent but not HSF-1 dependent. The increase in lifespan is also accompanied by a reduction in fertility, slower growth and locomotor deficits.	anti	20	20	Loss of function mutation	
659	177515	tes-1	Temporarily Assigned Gene name	Caenorhabditis elegans	Cel.13642	B0496.8			increase	RNA interference increased mean lifespan by 60%.	anti		60	RNA interference	
1946	173041	timm-23	Translocase, Inner Mitochondrial Membrane	Caenorhabditis elegans	.18940				decrease	RNA interference of F15D3.7 shortens mean lifespan (by 7.4%) compared to wild-type worms.	pro		7.4	RNA interference	
1950	172302	tin-44	Probable mitochondrial import inner membrane translocase subunit tim-44	Caenorhabditis elegans	.5010				decrease	RNA interference of T09B4.9 shortens mean lifespan (by 11.1%) compared to wild-type worms.	pro		11.1	RNA interference	
227	177906	tkt-1	Protein TKT-1	Caenorhabditis elegans	Cel.8781	F01G10.1			increase	RNA interference increased mean lifespan by 25%.	anti		25	RNA interference	
675	172676	tlf-1	TBP-Like Factor	Caenorhabditis elegans	Cel.19460	F39H11.2			decrease	RNA interference decreased median lifespan by 33% in wild type animals and 49% in daf-2 mutants.	pro		33	RNA interference	
992	180740	tmem-135	K02G10.3	Caenorhabditis elegans		K02G10.3			decrease	Deletion of the tmem135 orthologue in C. elegans caused a 41.8% (62.8%) reduction in fat stores, a reduction in mitochondrial action potential and decreased longevity of the worm. In stark contrast, C. elegans transgenic animals overexpressing TMEM-135 exhibited increased longevity upon exposure to cold stress.				Deletion	
993	172209	tom-1	TOMosyn synaptic protein	Caenorhabditis elegans		M01A10.2			decrease	33% mean lifespan reduction compared to wild type.	pro		33	Mutation	
1951	173436	tomm-22	Translocase of Outer Mitochondrial Membrane	Caenorhabditis elegans	.34305				decrease	RNA interference of tomm-22 shortens mean lifespan (by 14.5%) compared to wild-type worms.	pro		14.5	RNA interference	
676	266847	top-1	TOPoisomerase	Caenorhabditis elegans	Cel.17282	M01E5.5			decrease	RNA interference decreased median lifespan by 19% in wild type animals and 42% in daf-2 mutants.	pro		19	RNA interference	
680	176825	tpa-1	TPA (tetradecanoyl phorbol acetate) resistant	Caenorhabditis elegans	Cel.12259	B0545.1			increase	RNA interference in adulthood extended mean lifespan by 28%.	anti		28	RNA interference	
81	178619	trim-9	Protein TRIM-9	Caenorhabditis elegans	Cel.6949	C39F7.2			increase	RNA interference extends lifespan.	anti			RNA interference	
1793	178118	trpa-1	Protein TRPA-1	Caenorhabditis elegans					increase	Overexpression of wild-type trpa-1 extends lifespan at 20C and 15C (but not at 25C). Additionally, trpa-1 null mutant worms are short lived at 20C and 15C (but not at 25C).	pro		33.5	Overexpression	
31	181863	trx-1	ThioRedoXin	Caenorhabditis elegans	Cel.16076	B0228.5			decrease	Mutants with a deletion in the gene display a decrease in lifespan and are sensitive to oxidative stress.	pro			Deletion	
2118	173856	try-1	TRYpsin-like protease	Caenorhabditis elegans					increase	In a large scale screen downregulation of try-1 in worms increased mean lifespan by >5%. 	anti			RNA interference	
2227	192059	tsp-3	TetraSPanin 3	Caenorhabditis elegans					increase	Downregulation of tsp-3 in worms extended lifespan by 41% at 25 degrees celcius but not at 15 degrees celcius. Functional decline was delayed in the long-lived worms. 	anti		41	RNA interference	
